solr-1.node,1.1.1.1:8983_solr
coll2C_shard1_0_0_1_0_replica1,8.3M,6.2GB
coll2C_shard1_0_0_1_1_replica1,8.3M,5.0GB
coll2D_shard1_0_1_replica1,9.7M,8.7GB
coll2D_shard1_1_0_replica1,9.8M,8.7GB
coll2F_shard1_0_0_0_0_replica2,6.8M,4.9GB
coll2F_shard1_0_0_0_1_replica2,6.2M,4.1GB
coll6D_shard1_1_0_replica1,11.7M,3.3GB
coll6D_shard1_1_1_replica1,11.9M,3.3GB
coll31_shard1_0_0_1_0_0_replica1,7.9M,7.4GB
coll31_shard1_0_0_1_0_1_replica1,7.6M,7.0GB
coll31_shard1_0_0_1_1_0_replica1,7.9M,7.4GB
coll31_shard1_0_0_1_1_1_replica1,8.2M,7.5GB
coll8F_shard1_replica2,8.8M,7.7GB
coll32_shard1_0_1_1_0_0_replica1,10.4M,6.0GB
coll32_shard1_0_1_1_0_1_replica1,11.5M,6.6GB
coll32_shard1_0_1_1_1_0_replica1,11.2M,6.3GB
coll32_shard1_0_1_1_1_1_replica1,10.7M,6.1GB
coll90_shard1_replica1,1.3M,1.1GB
coll91_shard1_replica2,7.4M,4.1GB
coll6E_shard1_1_0_replica1,2.2M,1.2GB
coll6E_shard1_1_1_replica1,2.7M,2.0GB
coll34_shard1_0_0_0_replica2,9.0M,4.8GB
coll34_shard1_0_1_0_replica1,9.1M,5.0GB
coll34_shard1_1_0_1_replica2,9.0M,5.2GB
coll92_shard1_0_replica1,6.6M,3.7GB
coll35_shard1_0_0_1_0_replica2,4.6M,2.3GB
coll35_shard1_1_0_0_1_replica1,4.2M,2.2GB
coll93_shard1_0_replica1,2.5M,1.6GB
coll93_shard1_1_replica1,3.2M,1.8GB
coll94_shard1_replica2,3.3M,1.6GB
coll95_shard1_0_replica2,5.5M,2.9GB
coll96_shard1_0_1_replica2,2.2M,1.2GB
coll97_shard1_replica2,3.0M,2.0GB
coll98_shard1_replica2,4.1M,2.4GB
coll3A_shard1_0_1_0_0_replica1,8.0M,3.9GB
coll3A_shard1_0_1_0_1_replica1,7.3M,3.6GB
coll99_shard1_replica2,1.8M,1.8GB
coll9A_shard1_replica2,6.5M,5.4GB
coll3C_shard1_1_0_0_0_replica1,10.4M,7.0GB
coll3C_shard1_1_0_0_1_replica1,10.8M,7.2GB
coll9B_shard1_replica2,1.4M,704MB
coll72_shard1_1_replica1,2.3M,1.5GB
coll9C_shard1_replica2,2.7M,2.2GB
coll3E_shard1_1_0_0_0_replica1,6.9M,6.5GB
coll3E_shard1_1_0_0_1_replica1,6.3M,5.8GB
coll77_shard1_0_replica2,3.0M,1.8GB
coll9D_shard1_replica1,689K,337MB
solr-4.node,4.4.4.4:8983_solr
coll9E_shard1_replica2,8.4M,3.8GB
coll9F_shard1_replica2,1.1M,412MB
coll7F_shard1_1_replica2,10.2M,5.8GB
collE_shard1_1_1_0_replica1,4.6M,3.7GB
collE_shard1_1_1_1_replica1,4.5M,3.5GB
collA0_shard1_replica2,5.4M,2.7GB
collA1_shard1_replica2,8.3M,5.6GB
collA2_shard1_replica2,3.3M,2.4GB
coll13_shard1_1_1_0_replica2,11.0M,4.7GB
collA3_shard1_replica2,156K,64.3MB
collA4_shard1_replica2,12.3M,7.5GB
coll15_shard1_1_1_0_0_0_replica1,5.6M,7.1GB
coll15_shard1_1_1_0_0_1_replica1,5.4M,4.9GB
coll15_shard1_1_1_0_1_0_replica1,5.5M,4.1GB
coll15_shard1_1_1_0_1_1_replica1,5.6M,3.4GB
collA5_shard1_replica2,14.6M,3.3GB
coll17_shard1_1_1_0_replica1,7.8M,4.8GB
coll17_shard1_1_1_1_replica1,7.9M,4.9GB
collA6_shard1_replica2,4.2M,6.2GB
collA7_shard1_replica1,625K,3.7GB
collA8_shard1_replica1,3.2M,2.8GB
collA9_shard1_replica1,2.2M,1.4GB
collAA_shard1_replica1,14.5M,12.3GB
collAB_shard1_0_replica1,9.1M,7.5GB
collAB_shard1_1_replica1,10.0M,5.6GB
collAC_shard1_replica3,1.8M,1.4GB
collAD_shard1_replica1,9.9M,6.1GB
coll8A_shard1_0_1_0_replica1,11.3M,5.9GB
coll8A_shard1_0_1_1_replica1,10.7M,5.9GB
coll8A_shard1_1_1_0_replica1,11.9M,6.1GB
coll8A_shard1_1_1_1_replica1,11.7M,6.3GB
collAE_shard1_replica1,3.9M,3.4GB
coll22_shard1_1_1_0_replica1,8.7M,8.0GB
coll22_shard1_1_1_1_replica1,8.8M,8.0GB
collAF_shard1_replica1,3.2M,2.6GB
collB0_shard1_replica2,4.5M,2.5GB
coll23_shard1_1_1_0_0_replica1,14.8M,10.2GB
coll23_shard1_1_1_0_1_replica1,14.2M,12.9GB
coll26_shard1_1_1_0_replica1,7.1M,5.2GB
coll26_shard1_1_1_1_replica1,7.9M,7.1GB
collB1_shard1_replica2,2.0M,1.3GB
collB2_shard1_replica1,3.3M,2.2GB
collB3_shard1_replica1,2.0M,1.2GB
collB4_shard1_replica1,903K,582MB
collB5_shard1_replica2,2.1M,1.4GB
coll2B_shard1_1_1_0_replica1,6.1M,4.2GB
coll2B_shard1_1_1_1_replica1,6.2M,3.4GB
coll2C_shard1_1_0_1_0_replica1,8.6M,5.7GB
coll2C_shard1_1_0_1_1_replica1,8.3M,6.3GB
coll2D_shard1_1_1_replica2,9.9M,8.8GB
collB6_shard1_replica1,2.8M,1.8GB
collB7_shard1_replica2,996K,2.1GB
collB8_shard1_replica2,11.0M,6.0GB
collB9_shard1_replica1,2.7M,1.8GB
coll2F_shard1_0_0_1_0_replica2,6.0M,3.7GB
coll2F_shard1_0_1_0_1_replica2,6.2M,3.9GB
collBA_shard1_replica2,1.5M,942MB
collBB_shard1_replica1,1.0M,526MB
coll31_shard1_0_1_0_0_0_replica1,7.8M,7.3GB
coll31_shard1_0_1_0_0_1_replica1,8.0M,7.4GB
coll31_shard1_0_1_0_1_0_replica1,7.8M,5.9GB
coll31_shard1_0_1_0_1_1_replica1,8.6M,7.7GB
coll32_shard1_1_1_0_0_0_replica1,10.2M,5.9GB
coll32_shard1_1_1_0_0_1_replica1,11.7M,6.5GB
coll32_shard1_1_1_0_1_0_replica1,10.9M,6.2GB
coll32_shard1_1_1_0_1_1_replica1,11.1M,6.3GB
collBC_shard1_replica2,2.8M,1.7GB
collBD_shard1_replica1,8.0M,4.8GB
coll34_shard1_1_0_0_replica2,9.2M,5.0GB
coll34_shard1_1_1_0_replica1,9.0M,5.0GB
coll34_shard1_1_1_1_replica1,8.9M,6.5GB
collBE_shard1_0_0_replica1,14.2M,10.6GB
collBE_shard1_0_1_replica1,14.9M,11.2GB
collBE_shard1_1_0_replica1,15.0M,11.1GB
collBE_shard1_1_1_replica1,17.1M,13.5GB
coll92_shard1_1_replica2,6.7M,3.7GB
coll35_shard1_1_0_0_0_replica2,4.3M,2.2GB
coll35_shard1_1_0_1_0_replica2,4.3M,2.4GB
collBF_shard1_replica1,10.3M,5.8GB
collC0_shard1_replica2,8.6M,12.4GB
coll95_shard1_1_replica1,5.5M,3.5GB
coll96_shard1_0_0_replica1,2.2M,1.2GB
coll96_shard1_1_0_replica1,2.1M,1.6GB
coll96_shard1_1_1_replica1,2.2M,1.7GB
coll39_shard1_1_0_replica1,9.9M,6.0GB
coll39_shard1_1_1_replica1,10.2M,6.3GB
collC1_shard1_replica1,1.7M,1.2GB
coll3A_shard1_1_1_0_0_replica1,8.1M,4.1GB
coll3A_shard1_1_1_0_1_replica1,8.0M,4.0GB
collC2_shard1_replica1,2.1M,1.2GB
collC3_shard1_0_replica1,8.2M,5.2GB
collC3_shard1_1_replica1,7.7M,5.7GB
collC4_shard1_replica2,2.1M,1.8GB
collC5_shard1_replica2,736K,395MB
collC6_shard1_replica2,1.6M,942MB
collC7_shard1_replica1,3.5M,2.7GB
collC8_shard1_replica4,1.4M,937MB
coll3C_shard1_1_1_0_0_replica1,10.8M,7.2GB
coll3C_shard1_1_1_1_0_0_replica1,5.8M,3.9GB
coll3C_shard1_1_1_1_0_1_replica1,5.5M,3.7GB
coll76_shard1_1_0_replica2,2.3M,1.9GB
coll76_shard1_1_1_replica2,2.4M,2.0GB
coll3E_shard1_1_1_0_0_replica1,5.5M,4.5GB
coll3E_shard1_1_1_0_1_replica1,7.5M,5.3GB
collC9_shard1_0_replica1,11.6M,9.8GB
collC9_shard1_1_replica1,11.0M,9.5GB
coll78_shard1_1_0_replica1,11.4M,9.6GB
coll78_shard1_1_1_replica1,11.4M,9.5GB
collCA_shard1_replica2,11.1M,6.9GB
solr-5.node,5.5.5.5:8983_solr
collCB_shard1_replica2,390K,273MB
collCC_shard1_replica2,141K,87.5MB
collCD_shard1_replica2,425K,183MB
collCE_shard1_replica2,899K,481MB
collCF_shard1_replica2,47.9K,19.4MB
collD0_shard1_replica1,7,65.2KB
collD1_shard1_replica2,106K,62.3MB
collD2_shard1_replica2,18.3K,9.4MB
collD3_shard1_replica2,6.8K,3.9MB
collD4_shard1_replica1,1.6M,1.2GB
collD5_shard1_replica2,676K,341MB
collD6_shard1_replica2,631K,315MB
collD7_shard1_replica2,368K,271MB
collD8_shard1_replica1,1.0M,605MB
collD9_shard1_replica2,730K,465MB
collDA_shard1_replica2,7.4K,36.5MB
collDB_shard1_replica1,2.1M,1.3GB
collDC_shard1_replica2,512K,327MB
collDD_shard1_replica2,93.4K,45.3MB
collDE_shard1_replica2,838K,598MB
collDF_shard1_replica2,315K,323MB
collE0_shard1_replica2,235K,218MB
collE1_shard1_replica1,15.5K,17.7MB
collE2_shard1_replica1,746K,450MB
collE3_shard1_replica2,97.1K,39.3MB
collE4_shard1_replica1,2.5M,1.5GB
collE5_shard1_replica1,3.6K,1.9MB
collE6_shard1_replica1,2.3M,1.2GB
